克拉斯沃特（三分熟） | 游击队----'Medium Rare' Crasswater | Guerrilla Warfare----95.9----526----526
SG 553 | 意式拉力 (久经沙场)----SG 553 | Integrale (Field-Tested)----60.67----901----901
SG 553 | 意式拉力 (略有磨损)----SG 553 | Integrale (Minimal Wear)----166.0----874----874
SG 553 | 锈蚀之刃 (崭新出厂)----SG 553 | Ol' Rusty (Factory New)----1.1----559----559
SSG 08 | 无尽深海 (崭新出厂)----SSG 08 | Abyss (Factory New)----17.52----1000----1000
SSG 08 | 无尽深海 (久经沙场)----SSG 08 | Abyss (Field-Tested)----1.05----1000----1000
SSG 08 | 无尽深海 (略有磨损)----SSG 08 | Abyss (Minimal Wear)----3.23----1000----1000
SSG 08 | 渐变强酸 (崭新出厂)----SSG 08 | Acid Fade (Factory New)----4.96----1000----1000
SSG 08 | 碧蓝雕文 (久经沙场)----SSG 08 | Azure Glyph (Field-Tested)----1.35----815----815
SSG 08 | 炎龙之焰 (略有磨损)----SSG 08 | Dragonfire (Minimal Wear)----81.0----689----689
SSG 08 | 浮生如梦 (久经沙场)----SSG 08 | Fever Dream (Field-Tested)----3.18----1000----1000
SSG 08 | 浮生如梦 (略有磨损)----SSG 08 | Fever Dream (Minimal Wear)----6.9----730----730
SSG 08 | 幽灵战士 (久经沙场)----SSG 08 | Ghost Crusader (Field-Tested)----3.42----860----860
SSG 08 | 手刹 (崭新出厂)----SSG 08 | Hand Brake (Factory New)----4.68----543----543
SSG 08 | 手刹 (久经沙场)----SSG 08 | Hand Brake (Field-Tested)----2.18----735----735
SSG 08 | 手刹 (略有磨损)----SSG 08 | Hand Brake (Minimal Wear)----2.89----547----547
SSG 08 | 主机001 (崭新出厂)----SSG 08 | Mainframe 001 (Factory New)----1.36----690----690
SSG 08 | 春季方巾 (崭新出厂)----SSG 08 | Spring Twilly (Factory New)----10.23----633----633
飞贼波兹曼 | 专业人士----Safecracker Voltzmann | The Professionals----79.0----1000----1000
截短霰弹枪 | 渐变琥珀 (崭新出厂)----Sawed-Off | Amber Fade (Factory New)----2.86----907----907
截短霰弹枪 | 刹车灯 (崭新出厂)----Sawed-Off | Brake Light (Factory New)----3.82----1000----1000
截短霰弹枪 | 逮捕者 (崭新出厂)----Sawed-Off | Full Stop (Factory New)----2.87----594----594
截短霰弹枪 | 么么 (久经沙场)----Sawed-Off | Kiss♥Love (Field-Tested)----17.49----861----861
截短霰弹枪 | 么么 (略有磨损)----Sawed-Off | Kiss♥Love (Minimal Wear)----30.64----837----837
暗影武器箱----Shadow Case----5.39----646----0
“裂网大行动”武器箱----Shattered Web Case----21.8----956----0
残酷的达里尔爵士（皇家）| 专业人士----Sir Bloody Darryl Royale | The Professionals----191.9----703----703
残酷的达里尔爵士（聒噪）| 专业人士----Sir Bloody Loudmouth Darryl | The Professionals----313.11----700----700
残酷的达里尔爵士（头盖骨）| 专业人士----Sir Bloody Skullhead Darryl | The Professionals----154.0----664----664
蛇噬武器箱----Snakebite Case----1.05----12050----0
爱娃特工 | 联邦调查局（FBI）----Special Agent Ava | FBI----92.0----1000----1000
光谱 2 号武器箱----Spectrum 2 Case----11.99----1056----0
光谱武器箱----Spectrum Case----17.79----1472----0
AK-47（StatTrak™） | 蓝色层压板 (久经沙场)----StatTrak™ AK-47 | Blue Laminate (Field-Tested)----155.47----523----523
AK-47（StatTrak™） | 精英之作 (战痕累累)----StatTrak™ AK-47 | Elite Build (Battle-Scarred)----16.7----580----580
AK-47（StatTrak™） | 精英之作 (久经沙场)----StatTrak™ AK-47 | Elite Build (Field-Tested)----23.7----1000----1000
AK-47（StatTrak™） | 精英之作 (略有磨损)----StatTrak™ AK-47 | Elite Build (Minimal Wear)----40.7----1000----1000
AK-47（StatTrak™） | 精英之作 (破损不堪)----StatTrak™ AK-47 | Elite Build (Well-Worn)----17.78----541----541
AK-47（StatTrak™） | 可燃冰 (崭新出厂)----StatTrak™ AK-47 | Ice Coaled (Factory New)----266.49----522----522
AK-47（StatTrak™） | 可燃冰 (久经沙场)----StatTrak™ AK-47 | Ice Coaled (Field-Tested)----68.9----1000----1000
AK-47（StatTrak™） | 可燃冰 (略有磨损)----StatTrak™ AK-47 | Ice Coaled (Minimal Wear)----130.0----875----875
AK-47（StatTrak™） | 阿努比斯军团 (久经沙场)----StatTrak™ AK-47 | Legion of Anubis (Field-Tested)----102.5----551----551
AK-47（StatTrak™） | 红线 (久经沙场)----StatTrak™ AK-47 | Redline (Field-Tested)----314.35----1000----1000
AK-47（StatTrak™） | 墨岩 (战痕累累)----StatTrak™ AK-47 | Slate (Battle-Scarred)----56.28----766----766
AK-47（StatTrak™） | 墨岩 (崭新出厂)----StatTrak™ AK-47 | Slate (Factory New)----229.5----797----797
AK-47（StatTrak™） | 墨岩 (久经沙场)----StatTrak™ AK-47 | Slate (Field-Tested)----62.76----1000----1000
AK-47（StatTrak™） | 墨岩 (略有磨损)----StatTrak™ AK-47 | Slate (Minimal Wear)----97.88----1000----1000
AK-47（StatTrak™） | 墨岩 (破损不堪)----StatTrak™ AK-47 | Slate (Well-Worn)----56.65----697----697
AK-47（StatTrak™） | 迷踪秘境 (久经沙场)----StatTrak™ AK-47 | Uncharted (Field-Tested)----11.0----697----697
AWP（StatTrak™） | 二西莫夫 (久经沙场)----StatTrak™ AWP | Asiimov (Field-Tested)----1514.5----640----640
AWP（StatTrak™） | 毛细血管 (久经沙场)----StatTrak™ AWP | Capillary (Field-Tested)----6.38----786----786
AWP（StatTrak™） | 毛细血管 (略有磨损)----StatTrak™ AWP | Capillary (Minimal Wear)----11.0----593----593
AWP（StatTrak™） | 死神 (久经沙场)----StatTrak™ AWP | Mortis (Field-Tested)----24.59----537----537
AWP（StatTrak™） | 猫猫狗狗 (崭新出厂)----StatTrak™ AWP | PAW (Factory New)----74.46----594----594
AWP（StatTrak™） | 蠕虫之神 (崭新出厂)----StatTrak™ AWP | Worm God (Factory New)----37.9----575----575
AWP（StatTrak™） | 蠕虫之神 (略有磨损)----StatTrak™ AWP | Worm God (Minimal Wear)----24.85----554----554
沙漠之鹰（StatTrak™） | 蓝色层压板 (久经沙场)----StatTrak™ Desert Eagle | Blue Ply (Field-Tested)----5.4----687----687
沙漠之鹰（StatTrak™） | 蓝色层压板 (略有磨损)----StatTrak™ Desert Eagle | Blue Ply (Minimal Wear)----9.86----506----506
沙漠之鹰（StatTrak™） | 青铜装饰 (崭新出厂)----StatTrak™ Desert Eagle | Bronze Deco (Factory New)----11.19----1000----1000
沙漠之鹰（StatTrak™） | 青铜装饰 (久经沙场)----StatTrak™ Desert Eagle | Bronze Deco (Field-Tested)----3.97----614----614
沙漠之鹰（StatTrak™） | 青铜装饰 (略有磨损)----StatTrak™ Desert Eagle | Bronze Deco (Minimal Wear)----7.64----700----700
沙漠之鹰（StatTrak™） | 阴谋者 (崭新出厂)----StatTrak™ Desert Eagle | Conspiracy (Factory New)----166.0----611----611
沙漠之鹰（StatTrak™） | 锈蚀烈焰 (崭新出厂)----StatTrak™ Desert Eagle | Oxide Blaze (Factory New)----13.7----770----770
沙漠之鹰（StatTrak™） | 锈蚀烈焰 (久经沙场)----StatTrak™ Desert Eagle | Oxide Blaze (Field-Tested)----5.39----584----584
沙漠之鹰（StatTrak™） | 锈蚀烈焰 (略有磨损)----StatTrak™ Desert Eagle | Oxide Blaze (Minimal Wear)----9.34----513----513
沙漠之鹰（StatTrak™） | 后发制人 (久经沙场)----StatTrak™ Desert Eagle | Trigger Discipline (Field-Tested)----12.19----503----503
沙漠之鹰（StatTrak™） | 后发制人 (略有磨损)----StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear)----27.0----516----516
FN57（StatTrak™） | 神祗 (崭新出厂)----StatTrak™ Five-SeveN | Kami (Factory New)----18.88----729----729
FN57（StatTrak™） | 神祗 (略有磨损)----StatTrak™ Five-SeveN | Kami (Minimal Wear)----12.68----664----664
格洛克 18 型（StatTrak™） | 本生灯 (久经沙场)----StatTrak™ Glock-18 | Bunsen Burner (Field-Tested)----3.99----637----637
格洛克 18 型（StatTrak™） | 城里的月光 (崭新出厂)----StatTrak™ Glock-18 | Moonrise (Factory New)----29.0----552----552
格洛克 18 型（StatTrak™） | 城里的月光 (久经沙场)----StatTrak™ Glock-18 | Moonrise (Field-Tested)----5.9----935----935
格洛克 18 型（StatTrak™） | 城里的月光 (略有磨损)----StatTrak™ Glock-18 | Moonrise (Minimal Wear)----12.99----700----700
格洛克 18 型（StatTrak™） | 异星世界 (久经沙场)----StatTrak™ Glock-18 | Off World (Field-Tested)----1.73----533----533
M4A1 消音型（StatTrak™） | 隐伏帝王龙 (久经沙场)----StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested)----9.55----781----781
M4A1 消音型（StatTrak™） | 隐伏帝王龙 (略有磨损)----StatTrak™ M4A1-S | Emphorosaur-S (Minimal Wear)----20.0----532----532
M4A1 消音型（StatTrak™） | 夜无眠 (战痕累累)----StatTrak™ M4A1-S | Night Terror (Battle-Scarred)----26.0----653----653
M4A1 消音型（StatTrak™） | 夜无眠 (久经沙场)----StatTrak™ M4A1-S | Night Terror (Field-Tested)----10.6----771----771
M4A4（StatTrak™） | 杀意大名 (崭新出厂)----StatTrak™ M4A4 | Evil Daimyo (Factory New)----86.12----647----647
M4A4（StatTrak™） | 杀意大名 (略有磨损)----StatTrak™ M4A4 | Evil Daimyo (Minimal Wear)----40.0----507----507
M4A4（StatTrak™） | 镁元素 (久经沙场)----StatTrak™ M4A4 | Magnesium (Field-Tested)----6.05----639----639
M4A4（StatTrak™） | 镁元素 (略有磨损)----StatTrak™ M4A4 | Magnesium (Minimal Wear)----13.2----895----895
M4A4（StatTrak™） | 透明弹匣 (略有磨损)----StatTrak™ M4A4 | Poly Mag (Minimal Wear)----2.35----502----502
MAC-10（StatTrak™） | 错觉 (久经沙场)----StatTrak™ MAC-10 | Sakkaku (Field-Tested)----19.47----1000----1000
音乐盒（StatTrak™） | Blitz Kids - 有为青年----StatTrak™ Music Kit | Blitz Kids, The Good Youth----94.5----1000----1000
音乐盒（StatTrak™） | Hundredth - 冲破藩篱----StatTrak™ Music Kit | Hundredth, FREE----3.98----501----501
音乐盒（StatTrak™） | Neck Deep - 人生何处不青山----StatTrak™ Music Kit | Neck Deep, Life's Not Out To Get You----78.7----1000----1000
音乐盒（StatTrak™） | 完美世界 - 花脸----StatTrak™ Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)----35.0----814----814
音乐盒（StatTrak™） | Roam - 决心----StatTrak™ Music Kit | Roam, Backbone----13.06----609----609
音乐盒（StatTrak™） | Twin Atlantic - GLA----StatTrak™ Music Kit | Twin Atlantic, GLA----6.23----576----576
内格夫（StatTrak™） | 无畏战神 (略有磨损)----StatTrak™ Negev | Man-o'-war (Minimal Wear)----2.39----574----574
P250（StatTrak™） | 元素轮廓 (久经沙场)----StatTrak™ P250 | Valence (Field-Tested)----1.43----626----626
P250（StatTrak™） | 元素轮廓 (略有磨损)----StatTrak™ P250 | Valence (Minimal Wear)----4.27----588----588
P90（StatTrak™） | 冷血无情 (略有磨损)----StatTrak™ P90 | Grim (Minimal Wear)----2.74----613----613
P90（StatTrak™） | 元女王 (久经沙场)----StatTrak™ P90 | Neoqueen (Field-Tested)----3.47----533----533
PP-野牛（StatTrak™） | 太空猫 (久经沙场)----StatTrak™ PP-Bizon | Space Cat (Field-Tested)----2.4----672----672
SG 553（StatTrak™） | 阿罗哈 (崭新出厂)----StatTrak™ SG 553 | Aloha (Factory New)----4.03----621----621
SSG 08（StatTrak™） | 无尽深海 (战痕累累)----StatTrak™ SSG 08 | Abyss (Battle-Scarred)----2.8----809----809
SSG 08（StatTrak™） | 无尽深海 (久经沙场)----StatTrak™ SSG 08 | Abyss (Field-Tested)----4.98----1000----1000
SSG 08（StatTrak™） | 无尽深海 (略有磨损)----StatTrak™ SSG 08 | Abyss (Minimal Wear)----11.7----1000----1000
SSG 08（StatTrak™） | 无尽深海 (破损不堪)----StatTrak™ SSG 08 | Abyss (Well-Worn)----2.88----666----666
SSG 08（StatTrak™） | 主机001 (略有磨损)----StatTrak™ SSG 08 | Mainframe 001 (Minimal Wear)----1.51----592----592
StatTrak™ 数据互换器----StatTrak™ Swap Tool----2.75----1000----1000
Tec-9（StatTrak™） | 沙尘暴 (久经沙场)----StatTrak™ Tec-9 | Sandstorm (Field-Tested)----4.58----506----506
USP 消音版（StatTrak™） | 脑洞大开 (久经沙场)----StatTrak™ USP-S | Cortex (Field-Tested)----28.6----569----569
USP 消音版（StatTrak™） | 守护者 (崭新出厂)----StatTrak™ USP-S | Guardian (Factory New)----79.88----698----698
USP 消音版（StatTrak™） | 不锈钢 (久经沙场)----StatTrak™ USP-S | Stainless (Field-Tested)----90.99----640----640
USP 消音版（StatTrak™） | 不锈钢 (略有磨损)----StatTrak™ USP-S | Stainless (Minimal Wear)----176.07----572----572
USP 消音版（StatTrak™） | 地狱门票 (久经沙场)----StatTrak™ USP-S | Ticket to Hell (Field-Tested)----7.09----544----544
USP 消音版（StatTrak™） | 力矩 (崭新出厂)----StatTrak™ USP-S | Torque (Factory New)----26.0----543----543
斯德哥尔摩 2021 荒漠迷城纪念包----Stockholm 2021 Mirage Souvenir Package----19.63----694----0
糖果脸谱胶囊----Sugarface Capsule----5.19----692----0
Tec-9 | 竹林 (崭新出厂)----Tec-9 | Bamboo Forest (Factory New)----43.83----638----638
Tec-9 | 青竹伪装 (久经沙场)----Tec-9 | Bamboozle (Field-Tested)----2.23----604----604
Tec-9 | 兄弟连 (久经沙场)----Tec-9 | Brother (Field-Tested)----2.2----993----993
Tec-9 | 燃料喷射器 (久经沙场)----Tec-9 | Fuel Injector (Field-Tested)----19.68----714----714
Tec-9 | 冰冠 (崭新出厂)----Tec-9 | Ice Cap (Factory New)----3.33----1000----1000
Tec-9 | 冰冠 (久经沙场)----Tec-9 | Ice Cap (Field-Tested)----1.03----544----544
Tec-9 | 冰冠 (略有磨损)----Tec-9 | Ice Cap (Minimal Wear)----1.68----932----932
精英穆哈里克先生 | 精锐分子----The Elite Mr. Muhlik | Elite Crew----35.39----1000----1000
UMP-45 | 白狼 (久经沙场)----UMP-45 | Arctic Wolf (Field-Tested)----1.74----937----937
UMP-45 | 白狼 (略有磨损)----UMP-45 | Arctic Wolf (Minimal Wear)----3.37----612----612
UMP-45 | 城里的月光 (崭新出厂)----UMP-45 | Moonrise (Factory New)----6.6----1000----1000
UMP-45 | 城里的月光 (略有磨损)----UMP-45 | Moonrise (Minimal Wear)----3.01----623----623
UMP-45 | 野孩子 (久经沙场)----UMP-45 | Wild Child (Field-Tested)----11.27----705----705
USP 消音版 | 黑莲花 (久经沙场)----USP-S | Black Lotus (Field-Tested)----8.46----781----781
USP 消音版 | 黑莲花 (略有磨损)----USP-S | Black Lotus (Minimal Wear)----16.0----943----943
USP 消音版 | 蓝图 (久经沙场)----USP-S | Blueprint (Field-Tested)----24.69----1000----1000
USP 消音版 | 蓝图 (略有磨损)----USP-S | Blueprint (Minimal Wear)----52.92----1000----1000
USP 消音版 | 引擎故障灯 (崭新出厂)----USP-S | Check Engine (Factory New)----6.27----1000----1000
USP 消音版 | 引擎故障灯 (久经沙场)----USP-S | Check Engine (Field-Tested)----2.5----1000----1000
USP 消音版 | 引擎故障灯 (略有磨损)----USP-S | Check Engine (Minimal Wear)----3.98----1000----1000
USP 消音版 | 脑洞大开 (崭新出厂)----USP-S | Cortex (Factory New)----64.0----538----538
USP 消音版 | 脑洞大开 (久经沙场)----USP-S | Cortex (Field-Tested)----12.6----1000----1000
USP 消音版 | 脑洞大开 (略有磨损)----USP-S | Cortex (Minimal Wear)----22.2----1000----1000
USP 消音版 | 脑洞大开 (破损不堪)----USP-S | Cortex (Well-Worn)----11.37----522----522
USP 消音版 | 次时代 (崭新出厂)----USP-S | Cyrex (Factory New)----17.0----1000----1000
USP 消音版 | 次时代 (久经沙场)----USP-S | Cyrex (Field-Tested)----5.24----1000----1000
USP 消音版 | 次时代 (略有磨损)----USP-S | Cyrex (Minimal Wear)----10.0----1000----1000
USP 消音版 | 沙漠战术 (久经沙场)----USP-S | Desert Tactical (Field-Tested)----1.32----712----712
USP 消音版 | 闪回 (久经沙场)----USP-S | Flashback (Field-Tested)----3.34----1000----1000
USP 消音版 | 闪回 (略有磨损)----USP-S | Flashback (Minimal Wear)----4.58----572----572
USP 消音版 | 守护者 (崭新出厂)----USP-S | Guardian (Factory New)----36.99----1000----1000
USP 消音版 | 守护者 (略有磨损)----USP-S | Guardian (Minimal Wear)----30.3----671----671
USP 消音版 | 枪响人亡 (久经沙场)----USP-S | Kill Confirmed (Field-Tested)----273.5----538----538
USP 消音版 | 黑色魅影 (崭新出厂)----USP-S | Neo-Noir (Factory New)----220.77----637----637
USP 消音版 | 黑色魅影 (久经沙场)----USP-S | Neo-Noir (Field-Tested)----76.69----1000----1000
USP 消音版 | 黑色魅影 (略有磨损)----USP-S | Neo-Noir (Minimal Wear)----115.99----1000----1000
USP 消音版 | 午夜行动 (崭新出厂)----USP-S | Night Ops (Factory New)----2.97----769----769
USP 消音版 | 午夜行动 (久经沙场)----USP-S | Night Ops (Field-Tested)----1.26----685----685
USP 消音版 | 午夜行动 (略有磨损)----USP-S | Night Ops (Minimal Wear)----1.93----636----636
USP 消音版 | 猎户 (崭新出厂)----USP-S | Orion (Factory New)----371.0----531----531
USP 消音版 | 不锈钢 (久经沙场)----USP-S | Stainless (Field-Tested)----28.17----1000----1000
USP 消音版 | 不锈钢 (略有磨损)----USP-S | Stainless (Minimal Wear)----48.0----1000----1000
USP 消音版 | 倒吊人 (久经沙场)----USP-S | The Traitor (Field-Tested)----64.0----1000----1000
USP 消音版 | 倒吊人 (略有磨损)----USP-S | The Traitor (Minimal Wear)----104.0----1000----1000
USP 消音版 | 地狱门票 (崭新出厂)----USP-S | Ticket to Hell (Factory New)----8.38----1000----1000
USP 消音版 | 地狱门票 (久经沙场)----USP-S | Ticket to Hell (Field-Tested)----1.86----1000----1000
USP 消音版 | 地狱门票 (略有磨损)----USP-S | Ticket to Hell (Minimal Wear)----3.86----1000----1000
USP 消音版 | 力矩 (崭新出厂)----USP-S | Torque (Factory New)----10.4----1000----1000
USP 消音版 | 力矩 (久经沙场)----USP-S | Torque (Field-Tested)----4.0----1000----1000
USP 消音版 | 力矩 (略有磨损)----USP-S | Torque (Minimal Wear)----7.49----800----800
USP 消音版 | 银装素裹 (略有磨损)----USP-S | Whiteout (Minimal Wear)----314.49----816----816
XM1014 | 埋葬之影 (久经沙场)----XM1014 | Entombed (Field-Tested)----17.38----860----860
XM1014 | 埋葬之影 (略有磨损)----XM1014 | Entombed (Minimal Wear)----26.69----547----547
XM1014 | 要抱抱 (久经沙场)----XM1014 | XOXO (Field-Tested)----8.17----1000----1000
XM1014 | 要抱抱 (略有磨损)----XM1014 | XOXO (Minimal Wear)----19.35----584----584
XM1014 | 行尸攻势 (崭新出厂)----XM1014 | Zombie Offensive (Factory New)----6.1----1000----1000
XM1014 | 行尸攻势 (久经沙场)----XM1014 | Zombie Offensive (Field-Tested)----1.47----1000----1000
XM1014 | 行尸攻势 (略有磨损)----XM1014 | Zombie Offensive (Minimal Wear)----2.76----562----562
刺刀（★） | 多普勒 (崭新出厂)----★ Bayonet | Doppler (Factory New)----4134.0----1000----1000
蝴蝶刀（★） | 多普勒 (崭新出厂)----★ Butterfly Knife | Doppler (Factory New)----17190.0----715----715
蝴蝶刀（★） | 伽玛多普勒 (崭新出厂)----★ Butterfly Knife | Gamma Doppler (Factory New)----19270.0----780----780
蝴蝶刀（★） | 渐变大理石 (崭新出厂)----★ Butterfly Knife | Marble Fade (Factory New)----14492.0----836----836
驾驶手套（★） | 西装革履 (久经沙场)----★ Driver Gloves | Black Tie (Field-Tested)----1365.0----932----932
驾驶手套（★） | 王蛇 (久经沙场)----★ Driver Gloves | King Snake (Field-Tested)----2170.0----1000----1000
驾驶手套（★） | 王蛇 (略有磨损)----★ Driver Gloves | King Snake (Minimal Wear)----8742.99----981----981
驾驶手套（★） | 雪豹 (久经沙场)----★ Driver Gloves | Snow Leopard (Field-Tested)----2778.0----719----719
折叠刀（★） | 多普勒 (崭新出厂)----★ Flip Knife | Doppler (Factory New)----3055.0----1000----1000
裹手（★） | 钴蓝骷髅 (久经沙场)----★ Hand Wraps | Cobalt Skulls (Field-Tested)----2650.0----604----604
裹手（★） | 套印 (久经沙场)----★ Hand Wraps | Overprint (Field-Tested)----1375.0----983----983
九头蛇手套（★） | 表面淬火 (久经沙场)----★ Hydra Gloves | Case Hardened (Field-Tested)----654.0----583----583
爪子刀（★） | 多普勒 (崭新出厂)----★ Karambit | Doppler (Factory New)----10389.5----1000----1000
爪子刀（★） | 渐变大理石 (崭新出厂)----★ Karambit | Marble Fade (Factory New)----9846.0----699----699
M9 刺刀（★） | 多普勒 (崭新出厂)----★ M9 Bayonet | Doppler (Factory New)----8599.0----1000----1000
摩托手套（★） | 终点线 (久经沙场)----★ Moto Gloves | Finish Line (Field-Tested)----941.0----599----599
摩托手套（★） | 嘭！ (久经沙场)----★ Moto Gloves | POW! (Field-Tested)----1333.0----1000----1000
摩托手套（★） | 小心烟雾弹 (久经沙场)----★ Moto Gloves | Smoke Out (Field-Tested)----990.0----520----520
摩托手套（★） | 玳瑁 (久经沙场)----★ Moto Gloves | Turtle (Field-Tested)----863.0----540----540
骷髅匕首（★） | 渐变之色 (崭新出厂)----★ Skeleton Knife | Fade (Factory New)----10474.5----539----539
专业手套（★） | 深红和服 (久经沙场)----★ Specialist Gloves | Crimson Kimono (Field-Tested)----14420.0----600----600
专业手套（★） | 深红之网 (久经沙场)----★ Specialist Gloves | Crimson Web (Field-Tested)----1570.0----780----780
专业手套（★） | 渐变之色 (久经沙场)----★ Specialist Gloves | Fade (Field-Tested)----2348.5----924----924
专业手套（★） | 渐变之色 (略有磨损)----★ Specialist Gloves | Fade (Minimal Wear)----7041.5----531----531
专业手套（★） | 一线特工 (久经沙场)----★ Specialist Gloves | Field Agent (Field-Tested)----1610.0----860----860
专业手套（★） | 渐变大理石 (久经沙场)----★ Specialist Gloves | Marble Fade (Field-Tested)----1728.3----558----558
专业手套（★） | 大腕 (久经沙场)----★ Specialist Gloves | Mogul (Field-Tested)----1090.0----560----560
专业手套（★） | 老虎精英 (久经沙场)----★ Specialist Gloves | Tiger Strike (Field-Tested)----2799.0----877----877
运动手套（★） | 双栖 (久经沙场)----★ Sport Gloves | Amphibious (Field-Tested)----4725.0----822----822
运动手套（★） | 大型猎物 (久经沙场)----★ Sport Gloves | Big Game (Field-Tested)----1456.66----888----888
运动手套（★） | 欧米伽 (久经沙场)----★ Sport Gloves | Omega (Field-Tested)----2848.0----816----816
运动手套（★） | 弹弓 (久经沙场)----★ Sport Gloves | Slingshot (Field-Tested)----5217.0----839----839
运动手套（★） | 迈阿密风云 (久经沙场)----★ Sport Gloves | Vice (Field-Tested)----7675.0----1000----1000
锯齿爪刀（★） | 多普勒 (崭新出厂)----★ Talon Knife | Doppler (Factory New)----6888.0----552----552
锯齿爪刀（★） | 渐变大理石 (崭新出厂)----★ Talon Knife | Marble Fade (Factory New)----5608.0----533----533
熊刀（★） | 多普勒 (崭新出厂)----★ Ursus Knife | Doppler (Factory New)----2824.0----621----621
熊刀（★） | 渐变大理石 (崭新出厂)----★ Ursus Knife | Marble Fade (Factory New)----2318.0----514----514
AK-47 | 传承 (久经沙场)----AK-47 | Inheritance (Field-Tested)----425.0----590----590
格洛克 18 型 | 崩络克-18 (崭新出厂)----Glock-18 | Block-18 (Factory New)----14.5----555----555
格洛克 18 型 | 崩络克-18 (久经沙场)----Glock-18 | Block-18 (Field-Tested)----5.85----902----902
千瓦武器箱----Kilowatt Case----3.97----5123----0
M4A1 消音型 | 黑莲花 (久经沙场)----M4A1-S | Black Lotus (Field-Tested)----67.8----1000----1000
M4A1 消音型 | 黑莲花 (略有磨损)----M4A1-S | Black Lotus (Minimal Wear)----89.0----844----844
M4A4 | 蚀刻领主 (战痕累累)----M4A4 | Etch Lord (Battle-Scarred)----4.95----699----699
音乐盒 | DRYDEN - 触摸能量----Music Kit | DRYDEN, Feel The Power----13.43----1000----1000
音乐盒 | ISOxo - 非人类----Music Kit | ISOxo, inhuman----38.6----525----525
音乐盒 | KILL SCRIPT - 通宵达旦----Music Kit | KILL SCRIPT, All Night----22.7----931----931
音乐盒 | Knock2 - 燥起来！----Music Kit | Knock2, Make U SWEAT!----8.03----1000----1000
音乐盒 | Rad Cat - 理由----Music Kit | Rad Cat, Reason----13.4----598----598
音乐盒 | TWERL 和 Ekko & Sidetrack - 万众瞩目----Music Kit | TWERL and Ekko & Sidetrack, Under Bright Lights----50.8----1000----1000
USP 消音版 | 破颚者 (久经沙场)----USP-S | Jawbreaker (Field-Tested)----41.8----501----501
宙斯 X27 电击枪 | 奥林匹斯 (久经沙场)----Zeus x27 | Olympus (Field-Tested)----41.0----567----567
蝴蝶刀（★） | 渐变之色 (崭新出厂)----★ Butterfly Knife | Fade (Factory New)----23899.0----832----832
爪子刀（★） | 伽玛多普勒 (崭新出厂)----★ Karambit | Gamma Doppler (Factory New)----15550.0----722----722
运动手套（★） | 迈阿密风云 (略有磨损)----★ Sport Gloves | Vice (Minimal Wear)----26767.5----946----946
2024年哥本哈根锦标赛挑战组亲笔签名胶囊----Copenhagen 2024 Challengers Autograph Capsule----1.1----2001----0
2024年哥本哈根锦标赛竞争组亲笔签名胶囊----Copenhagen 2024 Contenders Autograph Capsule----1.09----7009----0
2024年哥本哈根锦标赛传奇组亲笔签名胶囊----Copenhagen 2024 Legends Autograph Capsule----1.09----4903----0
2024年哥本哈根锦标赛死亡游乐园纪念包----Copenhagen 2024 Overpass Souvenir Package----13.88----660----0
